"caso_id","llamante_descripcion","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_id"
"435613","Familiar","Femenino","Madre","Física y psicológica","17","12 a 17 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-01 23:42:00","Ciudad Autónoma de Buenos Aires","02"
"435614","Comisaría","Femenino","Otro/a no familiar","Psicológica","30","30 a 39 años","Femenino","2","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2021-05-02 01:45:00","Ciudad Autónoma de Buenos Aires","02"
"430476","Otra/o sobre una situación de conflicto familiar","Masculino","Padre","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2021-05-02 01:57:00","Ciudad Autónoma de Buenos Aires","02"
"435615","Vecina/o","Femenino","Otro/a no familiar","Física y psicológica","Sin dato ","Sin dato ","Femenino","3","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-02 02:06:00","Ciudad Autónoma de Buenos Aires","02"
"435616","Comisaría","Femenino","No hay niñas/os","Psicológica","32","30 a 39 años","Femenino","0","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-02 02:31:00","Ciudad Autónoma de Buenos Aires","02"
"435617","Familiar","Masculino","Otro familiar","Física y psicológica","Sin dato ","Sin dato ","NS/NC","2","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-02 10:35:00","Ciudad Autónoma de Buenos Aires","02"
"435617","Familiar","Masculino","Otro familiar","Física y psicológica","Sin dato ","Sin dato ","NS/NC","2","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-02 10:40:00","Ciudad Autónoma de Buenos Aires","02"
"435618","Víctima","Femenino","Madre","Psicológica","33","30 a 39 años","Femenino","1","2","Masculino","Hermano/a","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-02 11:58:00","Ciudad Autónoma de Buenos Aires","02"
"414443","Familiar","Masculino","No hay niñas/os","Física y psicológica","4","0 a 5 años","Femenino","2","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-02 12:05:00","Ciudad Autónoma de Buenos Aires","02"
"435619","NS/NC","NS/NC","NS/NC","Psicológica","Sin dato ","Sin dato ","NS/NC","1","1","NS/NC","NS/NC","Llamante solicitó información y/o orientación","2021-05-02 12:07:00","Ciudad Autónoma de Buenos Aires","02"
"429222","NS/NC","Femenino","Madre","Psicológica","Sin dato ","Sin dato ","Femenino","1","1","NS/NC","NS/NC","Llamante solicitó información y/o orientación","2021-05-02 12:12:00","Ciudad Autónoma de Buenos Aires","02"
"435621","Otra/o sobre una situación de conflicto familiar","Femenino","No hay niñas/os","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2021-05-02 12:21:00","Ciudad Autónoma de Buenos Aires","02"
"426631","Víctima","Femenino","No hay niñas/os","Psicológica","25","18 a 29 años","Femenino","0","3","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-02 13:35:00","Ciudad Autónoma de Buenos Aires","02"
"435596","Víctima","Femenino","NS/NC","Psicológica","20","18 a 29 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-02 13:41:00","Ciudad Autónoma de Buenos Aires","02"
"435622","Otra/o sobre una situación de conflicto familiar","Femenino","Madre","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2021-05-02 13:46:00","Ciudad Autónoma de Buenos Aires","02"
"435623","Víctima","Femenino","Otro familiar","Psicológica","54","50 a 59 años","Femenino","2","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-02 15:52:00","Ciudad Autónoma de Buenos Aires","02"
"414443","Familiar","Masculino","Padre","Física y psicológica","4","0 a 5 años","Femenino","2","1","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-02 16:36:00","Ciudad Autónoma de Buenos Aires","02"
"435214","Víctima","Femenino","Madre","Económica, Física y psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2021-05-02 17:03:00","Ciudad Autónoma de Buenos Aires","02"
"435625","Víctima","Masculino","NS/NC","Física y psicológica","Sin dato ","Sin dato ","Masculino","1","2","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-02 17:08:00","Ciudad Autónoma de Buenos Aires","02"
"435626","Familiar","Masculino","Padre","Psicológica","Sin dato ","Sin dato ","Masculino","1","2","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-02 17:15:00","Ciudad Autónoma de Buenos Aires","02"
"435624","Familiar","Femenino","Otro familiar","Física y psicológica","13","12 a 17 años","Masculino","3","2","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-02 17:16:00","Ciudad Autónoma de Buenos Aires","02"
"426631","Víctima","Femenino","No hay niñas/os","Psicológica","25","18 a 29 años","Femenino","1","3","Masculino","Hermano/a","Llamante solicitó información y/o orientación","2021-05-02 17:31:00","Ciudad Autónoma de Buenos Aires","02"
"435540","Otro/a","Femenino","Otro/a no familiar","Física y psicológica","6","06 a 11 años","Femenino","2","2","Masculino","Abuelo/a","Llamante solicitó información y/o orientación","2021-05-02 17:32:00","Ciudad Autónoma de Buenos Aires","02"
"435596","Víctima","Femenino","NS/NC","Psicológica","20","18 a 29 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-02 17:37:00","Ciudad Autónoma de Buenos Aires","02"
"435627","Víctima","Femenino","Madre","Psicológica","34","30 a 39 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-02 18:49:00","Ciudad Autónoma de Buenos Aires","02"
"435628","Familiar","Masculino","Hermano/a","Psicológica","58","50 a 59 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2021-05-02 19:02:00","Ciudad Autónoma de Buenos Aires","02"
"435629","Víctima","Femenino","Madre","Física y psicológica","38","30 a 39 años","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-02 19:44:00","Ciudad Autónoma de Buenos Aires","02"
"435630","Víctima","Femenino","No hay niñas/os","Psicológica","16","12 a 17 años","Femenino","1","1","Femenino","Otro/a conviviente","Está interviniendo o se deriva a otra institución","2021-05-02 23:06:00","Ciudad Autónoma de Buenos Aires","02"
"435631","Comisaría","Femenino","Madre","Física y psicológica","30","30 a 39 años","Femenino","1","1","Masculino","Pareja","Comunicación con los Equipos Móviles","2021-05-03 04:43:00","Ciudad Autónoma de Buenos Aires","02"
"435632","Otra/o sobre una situación de conflicto familiar","Masculino","No hay niñas/os","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2021-05-03 05:25:00","Ciudad Autónoma de Buenos Aires","02"
"435631","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-03 05:38:00","Ciudad Autónoma de Buenos Aires","02"
"435633","Familiar","Masculino","No hay niñas/os","Psicológica","64","Más de 60 años","Femenino","0","1","Masculino","Hijo/a","Llamante solicitó información y/o orientación","2021-05-03 06:11:00","Ciudad Autónoma de Buenos Aires","02"
"435634","Víctima","Femenino","No hay niñas/os","Física y psicológica","51","50 a 59 años","Femenino","0","2","Masculino","Hijo/a","Llamante solicitó información y/o orientación","2021-05-03 10:10:00","Ciudad Autónoma de Buenos Aires","02"
"435635","Comisaría","Femenino","Madre","Física y psicológica","43","40 a 49 años","Femenino","2","1","Masculino","Pareja","Se planificó intervención para otro momento","2021-05-03 11:40:00","Ciudad Autónoma de Buenos Aires","02"
"435341","Víctima","Femenino","Madre","Psicológica","34","30 a 39 años","Femenino","2","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-03 12:38:00","Ciudad Autónoma de Buenos Aires","02"
"435637","Víctima","Femenino","No hay niñas/os","Física y psicológica","54","50 a 59 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2021-05-03 15:07:00","Ciudad Autónoma de Buenos Aires","02"
"435625","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-03 15:28:00","Ciudad Autónoma de Buenos Aires","02"
"435639","Vecina/o","NS/NC","No hay niñas/os","Psicológica","Sin dato ","Sin dato ","NS/NC","0","1","NS/NC","NS/NC","Llamante solicitó información y/o orientación","2021-05-03 15:36:00","Ciudad Autónoma de Buenos Aires","02"
"435640","Otro/a","NS/NC","Otro/a no familiar","Psicológica","Sin dato ","Sin dato ","NS/NC","1","2","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-03 15:41:00","Ciudad Autónoma de Buenos Aires","02"
"435641","Otro/a","NS/NC","NS/NC","Psicológica","Sin dato ","Sin dato ","Femenino","1","1","NS/NC","NS/NC","Llamante solicitó información y/o orientación","2021-05-03 15:50:00","Ciudad Autónoma de Buenos Aires","02"
"435642","Otro/a","NS/NC","Otro/a no familiar","Psicológica","Sin dato ","Sin dato ","NS/NC","1","1","NS/NC","Otro/a no conviviente","Llamante solicitó información y/o orientación","2021-05-03 15:56:00","Ciudad Autónoma de Buenos Aires","02"
"435643","Otro/a","NS/NC","Otro/a no familiar","Psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-03 16:01:00","Ciudad Autónoma de Buenos Aires","02"
"435624","Familiar","Masculino","Otro familiar","Psicológica","Sin dato ","Sin dato ","NS/NC","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-03 16:20:00","Ciudad Autónoma de Buenos Aires","02"
"435644","Familiar","Femenino","No hay niñas/os","Económica, Física y psicológica","81","Más de 60 años","Femenino","1","1","Masculino","Hijo/a","Está interviniendo o se deriva a otra institución","2021-05-03 16:32:00","Ciudad Autónoma de Buenos Aires","02"
"435645","Familiar","NS/NC","Otro familiar","Psicológica","Sin dato ","Sin dato ","NS/NC","2","2","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-03 16:33:00","Ciudad Autónoma de Buenos Aires","02"
"435646","Vecina/o","NS/NC","No hay niñas/os","Psicológica","Sin dato ","Sin dato ","Femenino","0","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2021-05-03 16:37:00","Ciudad Autónoma de Buenos Aires","02"
"435647","Víctima","Femenino","Madre","Psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-03 16:41:00","Ciudad Autónoma de Buenos Aires","02"
"435648","Víctima","NS/NC","No hay niñas/os","Psicológica","Sin dato ","Sin dato ","Femenino","0","1","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-03 16:55:00","Ciudad Autónoma de Buenos Aires","02"
"435649","Víctima","Masculino","Padre","Psicológica","Sin dato ","Sin dato ","Masculino","1","1","Femenino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-03 17:00:00","Ciudad Autónoma de Buenos Aires","02"
"435650","Vecina/o","Femenino","Otro/a no familiar","Psicológica","Sin dato ","Sin dato ","Femenino","1","0","NS/NC","NS/NC","Llamante solicitó información y/o orientación","2021-05-03 17:05:00","Ciudad Autónoma de Buenos Aires","02"
"435591","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-03 17:17:00","Ciudad Autónoma de Buenos Aires","02"
"435651","Víctima","Femenino","No hay niñas/os","Económica, Física y psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Hijo/a","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-03 17:36:00","Ciudad Autónoma de Buenos Aires","02"
"435650","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-03 18:19:00","Ciudad Autónoma de Buenos Aires","02"
"435653","Vecina/o","Femenino","Otro/a no familiar","Física y psicológica","Sin dato ","Sin dato ","Masculino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-03 18:24:00","Ciudad Autónoma de Buenos Aires","02"
"435650","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-03 18:25:00","Ciudad Autónoma de Buenos Aires","02"
"435635","Víctima","Femenino","Madre","Física y psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Pareja","Se planificó intervención para otro momento","2021-05-03 18:37:00","Ciudad Autónoma de Buenos Aires","02"
"435654","Familiar","Femenino","Madre","Física y psicológica","9","06 a 11 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-03 18:56:00","Ciudad Autónoma de Buenos Aires","02"
"435653","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-03 19:12:00","Ciudad Autónoma de Buenos Aires","02"
"435655","Familiar","Femenino","Otro familiar","Física y psicológica","1","0 a 5 años","Masculino","3","2","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-03 23:39:00","Ciudad Autónoma de Buenos Aires","02"
"435656","Víctima","Femenino","Madre","Física y psicológica","52","50 a 59 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-04 02:53:00","Ciudad Autónoma de Buenos Aires","02"
"435399","Víctima","Femenino","Madre","Física, sexual y psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-04 06:28:00","Ciudad Autónoma de Buenos Aires","02"
"435635","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-04 08:43:00","Ciudad Autónoma de Buenos Aires","02"
"435657","Comisaría","Femenino","Otro/a no familiar","Física y psicológica","35","30 a 39 años","Femenino","5","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-04 09:30:00","Ciudad Autónoma de Buenos Aires","02"
"435657","Comisaría","Masculino","Otro/a no familiar","Física y psicológica","Sin dato ","Sin dato ","Femenino","5","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2021-05-04 09:37:00","Ciudad Autónoma de Buenos Aires","02"
"435658","Vecina/o","Masculino","Otro/a no familiar","Psicológica","5","0 a 5 años","Femenino","3","1","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-04 10:33:00","Ciudad Autónoma de Buenos Aires","02"
"435659","Otra/o sobre una situación de conflicto familiar","Femenino","Otro/a no familiar","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2021-05-04 11:12:00","Ciudad Autónoma de Buenos Aires","02"
"434960","Otra/o sobre una situación de conflicto familiar","Femenino","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2021-05-04 15:59:00","Ciudad Autónoma de Buenos Aires","02"
"415267","Familiar","Masculino","Padre","Psicológica","4","0 a 5 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-04 16:47:00","Ciudad Autónoma de Buenos Aires","02"
"435661","Familiar","Masculino","Otro familiar","Psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-04 17:47:00","Ciudad Autónoma de Buenos Aires","02"
"435635","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-04 18:49:00","Ciudad Autónoma de Buenos Aires","02"
"432654","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-04 22:46:00","Ciudad Autónoma de Buenos Aires","02"
"420711","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-04 22:47:00","Ciudad Autónoma de Buenos Aires","02"
"417839","Víctima","Femenino","No hay niñas/os","Física y psicológica","60","Más de 60 años","Femenino","0","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-04 22:50:00","Ciudad Autónoma de Buenos Aires","02"
"435662","Víctima","Femenino","Hermano/a","Física y psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Padrastro","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-04 23:40:00","Ciudad Autónoma de Buenos Aires","02"
"435663","Víctima","Masculino","Hermano/a","Física y psicológica","Sin dato ","Sin dato ","Masculino","3","2","Masculino","Padre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-04 23:47:00","Ciudad Autónoma de Buenos Aires","02"
"435664","Comisaría","Femenino","Otro/a no familiar","Física y psicológica","23","18 a 29 años","Femenino","1","1","Masculino","Padre","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2021-05-05 00:20:00","Ciudad Autónoma de Buenos Aires","02"
"435666","Vecina/o","Femenino","No hay niñas/os","Física y psicológica","83","Más de 60 años","Femenino","0","1","Masculino","Hijo/a","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-05 11:00:00","Ciudad Autónoma de Buenos Aires","02"
"435667","Otra/o sobre una situación de conflicto familiar","Masculino","Padre","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2021-05-05 11:25:00","Ciudad Autónoma de Buenos Aires","02"
"290030","Víctima","Femenino","Madre","Psicológica","41","40 a 49 años","Femenino","2","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-05 11:52:00","Ciudad Autónoma de Buenos Aires","02"
"435668","Otro/a","Femenino","Otro/a no familiar","Psicológica","24","18 a 29 años","Masculino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-05 12:30:00","Ciudad Autónoma de Buenos Aires","02"
"435669","Comisaría","Femenino","Otro/a no familiar","Física y psicológica","37","30 a 39 años","Femenino","5","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-05 13:18:00","Ciudad Autónoma de Buenos Aires","02"
"435663","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-05 14:46:00","Ciudad Autónoma de Buenos Aires","02"
"435670","Familiar","Femenino","No hay niñas/os","Física y psicológica","70","Más de 60 años","Femenino","0","1","Masculino","Otro/a conviviente","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-05 15:00:00","Ciudad Autónoma de Buenos Aires","02"
"435672","Víctima","Femenino","NS/NC","Psicológica","80","Más de 60 años","Femenino","1","1","Masculino","Abuelo/a","Llamante solicitó información y/o orientación","2021-05-05 17:23:00","Ciudad Autónoma de Buenos Aires","02"
"435673","Familiar","Femenino","No hay niñas/os","Psicológica","80","Más de 60 años","Femenino","0","1","Masculino","Hijo/a","Llamante solicitó información y/o orientación","2021-05-05 18:25:00","Ciudad Autónoma de Buenos Aires","02"
"435673","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-05 18:31:00","Ciudad Autónoma de Buenos Aires","02"
"435674","Víctima","Femenino","Madre","Psicológica","45","40 a 49 años","Femenino","2","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-05 18:42:00","Ciudad Autónoma de Buenos Aires","02"
"435673","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-05 18:47:00","Ciudad Autónoma de Buenos Aires","02"
"435673","Familiar","Femenino","No hay niñas/os","Psicológica","80","Más de 60 años","Femenino","1","1","Masculino","Hijo/a","Llamante solicitó información y/o orientación","2021-05-05 18:49:00","Ciudad Autónoma de Buenos Aires","02"
"435675","Familiar","Femenino","No hay niñas/os","Económica y psicológica","68","Más de 60 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2021-05-05 19:12:00","Ciudad Autónoma de Buenos Aires","02"
"435676","Otro/a","Femenino","Otro/a no familiar","Psicológica","2","0 a 5 años","Masculino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-05 21:09:00","Ciudad Autónoma de Buenos Aires","02"
"435677","Otro/a","Femenino","Otro/a no familiar","Física y psicológica","40","40 a 49 años","Femenino","1","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-05 21:40:00","Ciudad Autónoma de Buenos Aires","02"
"435465","Comisaría","Masculino","Otro/a no familiar","Física y psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Pareja","Se planificó intervención para otro momento","2021-05-05 21:54:00","Ciudad Autónoma de Buenos Aires","02"
"412629","Víctima","Femenino","Madre","Psicológica","49","40 a 49 años","Femenino","1","1","Femenino","Hijo/a","Llamante solicitó información y/o orientación","2021-05-06 01:17:00","Ciudad Autónoma de Buenos Aires","02"
"435642","Vecina/o","NS/NC","Otro/a no familiar","Psicológica","Sin dato ","Sin dato ","NS/NC","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-06 04:27:00","Ciudad Autónoma de Buenos Aires","02"
"435642","Profesionales de la Línea 137","NS/NC","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Comunicación con los Equipos Móviles","2021-05-06 04:35:00","Ciudad Autónoma de Buenos Aires","02"
"435678","Víctima","Femenino","Madre","Psicológica","28","18 a 29 años","Femenino","2","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-06 05:00:00","Ciudad Autónoma de Buenos Aires","02"
"435679","Víctima","NS/NC","NS/NC","Física y psicológica","17","12 a 17 años","NS/NC","1","2","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-06 05:09:00","Ciudad Autónoma de Buenos Aires","02"
"435680","Víctima","Masculino","No hay niñas/os","Psicológica","40","40 a 49 años","Masculino","0","1","Femenino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-06 05:16:00","Ciudad Autónoma de Buenos Aires","02"
"435681","Otro/a","NS/NC","Otro/a no familiar","Física y psicológica","Sin dato ","Sin dato ","Masculino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-06 05:23:00","Ciudad Autónoma de Buenos Aires","02"
